INFO 2024-10-11 23:16:39,778 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:16:42,350 basehttp 458 140299302405696 "GET /admin/images/creationtype/add/ HTTP/1.1" 200 14455
INFO 2024-10-11 23:16:42,433 basehttp 458 140299302405696 "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
INFO 2024-10-11 23:16:42,461 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:16:42,473 basehttp 458 140299302405696 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:42,490 basehttp 458 140299302405696 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2024-10-11 23:16:42,505 basehttp 458 140299302405696 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:42,522 basehttp 458 140299302405696 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2024-10-11 23:16:42,537 basehttp 458 140299302405696 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2024-10-11 23:16:42,609 basehttp 458 140299302405696 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2024-10-11 23:16:42,619 basehttp 458 140299302405696 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
WARNING 2024-10-11 23:16:42,635 log 458 140299302405696 Not Found: /favicon.ico
INFO 2024-10-11 23:16:44,273 basehttp 458 140299302405696 "POST /admin/images/creationtype/add/ HTTP/1.1" 302 0
INFO 2024-10-11 23:16:44,308 basehttp 458 140299302405696 "GET /admin/images/creationtype/ HTTP/1.1" 200 14402
INFO 2024-10-11 23:16:44,345 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:16:45,563 basehttp 458 140299302405696 "GET /admin/images/creationtype/add/ HTTP/1.1" 200 14455
INFO 2024-10-11 23:16:45,606 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:16:47,938 basehttp 458 140299302405696 "POST /admin/images/creationtype/add/ HTTP/1.1" 302 0
INFO 2024-10-11 23:16:47,971 basehttp 458 140299302405696 "GET /admin/images/creationtype/ HTTP/1.1" 200 14720
INFO 2024-10-11 23:16:48,038 basehttp 458 140299302405696 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,053 basehttp 458 140299302405696 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,072 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:16:48,083 basehttp 458 140299302405696 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,098 basehttp 458 140299302405696 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,114 basehttp 458 140299302405696 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,129 basehttp 458 140299302405696 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:48,145 basehttp 458 140299302405696 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
